BoardName;Ticker;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID;TenureSince
MATTEL INC;MAT;01/12/2017;Audit;Vasant Prabhu;Chairman / Financial Expert;Vice Chairman/CFO(1);Independent Director;Yes;Vasant Prabhu joined this role in 25 Jan 2015;19820;Yes;25161;
MATTEL INC;MAT;01/12/2017;Audit;Professor Doctor Kathy White Loyd;Member;;Independent Director;Yes;Professor Doctor Kathy White Loyd joined this role in 11 May 2006;19820;Yes;34537;
MATTEL INC;MAT;01/12/2017;Audit;Dominic Ng;Financial Expert;;Independent Director;Yes;Dominic Ng joined this role in 17 Apr 2006;19820;Yes;181006;
MATTEL INC;MAT;01/12/2017;Audit;Doctor Dirk van de Put;Financial Expert;;Independent Director;Yes;Doctor Dirk van de Put departed in 17 Nov 2017;19820;Yes;640369;
METLIFE INC;MET;01/12/2017;Audit;Al Kelly Jr;Financial Expert;;Independent Director;Yes;Al Kelly Jr joined this role in 23 Apr 2013;20426;Yes;33689;
METLIFE INC;MET.PRA;01/12/2017;Audit;Al Kelly Jr;Financial Expert;;Independent Director;Yes;Al Kelly Jr joined this role in 23 Apr 2013;20426;Yes;33689;
METLIFE INC;MET;01/12/2017;Audit;Ned Kelly III;Financial Expert;;Independent Director;Yes;Ned Kelly III joined this role in 24 Feb 2015;20426;Yes;36350;
METLIFE INC;MET.PRA;01/12/2017;Audit;Ned Kelly III;Financial Expert;;Independent Director;Yes;Ned Kelly III joined this role in 24 Feb 2015;20426;Yes;36350;
METLIFE INC;MET;01/12/2017;Audit;Cathy Kinney;Member;;Independent Director;Yes;Cathy Kinney joined this role in 23 Apr 2013;20426;Yes;42506;
METLIFE INC;MET.PRA;01/12/2017;Audit;Cathy Kinney;Member;;Independent Director;Yes;Cathy Kinney joined this role in 23 Apr 2013;20426;Yes;42506;
METLIFE INC;MET;01/12/2017;Audit;Kenton Sicchitano;Chairman;;Independent Director;Yes;Kenton Sicchitano departed in 13 Jun 2017;20426;Yes;44171;
METLIFE INC;MET.PRA;01/12/2017;Audit;Kenton Sicchitano;Chairman;;Independent Director;Yes;Kenton Sicchitano departed in 13 Jun 2017;20426;Yes;44171;
METLIFE INC;MET;01/12/2017;Audit;Cheryl Grisé;Member;;Independent Director;Yes;Cheryl Grisé joined this role in 26 Apr 2011;20426;Yes;91657;
METLIFE INC;MET.PRA;01/12/2017;Audit;Cheryl Grisé;Member;;Independent Director;Yes;Cheryl Grisé joined this role in 26 Apr 2011;20426;Yes;91657;
METLIFE INC;MET;01/12/2017;Audit;David Herzog;Chairman / Financial Expert;CFO(2);Independent Director;Yes;David Herzog joined this role in 13 Jun 2017;20426;Yes;486803;
METLIFE INC;MET.PRA;01/12/2017;Audit;David Herzog;Chairman / Financial Expert;CFO(2);Independent Director;Yes;David Herzog joined this role in 13 Jun 2017;20426;Yes;486803;
METLIFE INC;MET;01/12/2017;Audit;David Herzog;Chairman / Financial Expert;Executive VP/CFO(3);Independent Director;Yes;David Herzog joined this role in 13 Jun 2017;20426;Yes;486803;
METLIFE INC;MET.PRA;01/12/2017;Audit;David Herzog;Chairman / Financial Expert;Executive VP/CFO(3);Independent Director;Yes;David Herzog joined this role in 13 Jun 2017;20426;Yes;486803;
METLIFE INC;MET;01/12/2017;Audit;David Herzog;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;David Herzog joined this role in 13 Jun 2017;20426;Yes;486803;
METLIFE INC;MET.PRA;01/12/2017;Audit;David Herzog;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;David Herzog joined this role in 13 Jun 2017;20426;Yes;486803;
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;Audit;Dave Dillon;Chairman / Financial Expert;;Independent Director;Yes;Dave Dillon joined this role in 01 Apr 2017;20777;Yes;35928;
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;Audit;Herb Henkel;Chairman / Financial Expert;;Independent Director;Yes;Herb Henkel departed in 01 Apr 2017;20777;Yes;48721;
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;Audit;Greg Page;Financial Expert;;Independent Director;Yes;Greg Page joined this role in 01 Feb 2016;20777;Yes;66557;
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;Audit;Tony Brown;Member;;Independent Director;Yes;Tony Brown joined this role in 12 Aug 2013;20777;Yes;605157;
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;Audit;Sondra Barbour;Financial Expert;;Independent Director;Yes;Sondra Barbour joined this role in 11 Aug 2014;20777;Yes;1292666;
MOODYS CORP;MCO;01/12/2017;Audit;Ewald Kist;Financial Expert;;Independent Director;Yes;Ewald Kist joined this role in Jul 2004;21071;Yes;15874;
MOODYS CORP;MCO;01/12/2017;Audit;Doctor Hank McKinnell Jr;Financial Expert;;Independent Chairman;Yes;Doctor Hank McKinnell Jr joined this role in 23 Jul 2001;21071;Yes;31584;
MOODYS CORP;MCO;01/12/2017;Audit;Bruce van Saun;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Bruce van Saun joined this role in 25 Apr 2017;21071;Yes;35815;
MOODYS CORP;MCO;01/12/2017;Audit;Bruce van Saun;Financial Expert;GFD(1);Independent Director;Yes;Bruce van Saun joined this role in 25 Apr 2017;21071;Yes;35815;
MOODYS CORP;MCO;01/12/2017;Audit;Bruce van Saun;Financial Expert;Group CFO(1);Independent Director;Yes;Bruce van Saun joined this role in 25 Apr 2017;21071;Yes;35815;
MOODYS CORP;MCO;01/12/2017;Audit;Bruce van Saun;Financial Expert;Senior Executive VP/CFO(1);Independent Director;Yes;Bruce van Saun joined this role in 25 Apr 2017;21071;Yes;35815;
MOODYS CORP;MCO;01/12/2017;Audit;Bruce van Saun;Financial Expert;Vice Chairman/CFO(3);Independent Director;Yes;Bruce van Saun joined this role in 25 Apr 2017;21071;Yes;35815;
MOODYS CORP;MCO;01/12/2017;Audit;Basil Anderson;Financial Expert;CFO(1);Independent Director;Yes;Basil Anderson joined this role in 12 Apr 2016;21071;Yes;45576;
MOODYS CORP;MCO;01/12/2017;Audit;Basil Anderson;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Basil Anderson joined this role in 12 Apr 2016;21071;Yes;45576;
MOODYS CORP;MCO;01/12/2017;Audit;Basil Anderson;Financial Expert;VP/CFO(1);Independent Director;Yes;Basil Anderson joined this role in 12 Apr 2016;21071;Yes;45576;
MOODYS CORP;MCO;01/12/2017;Audit;Jorge Bermudez;Financial Expert;;Independent Director;Yes;Jorge Bermudez joined this role in 19 Apr 2011;21071;Yes;590655;
MOODYS CORP;MCO;01/12/2017;Audit;Doctor James Duffie;Member;;Independent Director;Yes;Doctor James Duffie joined this role in 27 Oct 2008;21071;Yes;760942;
MOODYS CORP;MCO;01/12/2017;Audit;Kathy Hill;Member;;Independent Director;Yes;Kathy Hill joined this role in 27 Oct 2011;21071;Yes;1047830;
MOODYS CORP;MCO;01/12/2017;Audit;Leslie Seidman;Chairwoman / Financial Expert;;Independent Director;Yes;Leslie Seidman joined this role in 12 Apr 2016;21071;Yes;1359391;
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2017;Audit;Tom Glocer;Financial Expert;;Lead Independent Director;Yes;Tom Glocer departed in 01 Sep 2017;21105;Yes;12761;
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2017;Audit;Perry Traquina;Financial Expert;;Independent Director;Yes;Perry Traquina joined this role in 19 May 2015;21105;Yes;140323;
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2017;Audit;Don Nicolaisen;Financial Expert;;Independent Director;Yes;Don Nicolaisen departed in 22 May 2017;21105;Yes;446596;
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2017;Audit;The Rt. Hon. Alistair Darling;Member;;Independent Director;Yes;The Rt. Hon. Alistair Darling joined this role in 01 Sep 2017;21105;Yes;508334;
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2017;Audit;Dennis Nally;Financial Expert;;Independent Director;Yes;Dennis Nally joined this role in 01 Dec 2016;21105;Yes;841921;
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2017;Audit;Bob Herz;Chairman / Financial Expert;;Independent Director;Yes;Bob Herz joined this role in 01 Feb 2014;21105;Yes;1119702;
MOTOROLA SOLUTIONS INC;MSI;01/12/2017;Audit;Judy Lewent;Chair/Financial Expert;Executive VP/CFO(3);Independent Director;Yes;Judy Lewent joined this role in 30 Apr 2012;21174;Yes;31538;
MOTOROLA SOLUTIONS INC;MSI;01/12/2017;Audit;Judy Lewent;Chair/Financial Expert;VP/CFO(1);Independent Director;Yes;Judy Lewent joined this role in 30 Apr 2012;21174;Yes;31538;
MOTOROLA SOLUTIONS INC;MSI;01/12/2017;Audit;Ken Dahlberg;Member;;Independent Director;Yes;Ken Dahlberg departed in 15 May 2017;21174;Yes;44536;
MOTOROLA SOLUTIONS INC;MSI;01/12/2017;Audit;Clay Jones;Financial Expert;;Independent Director;Yes;Clay Jones joined this role in 18 May 2015;21174;Yes;60907;
MOTOROLA SOLUTIONS INC;MSI;01/12/2017;Audit;Greg Mondre;Financial Expert;;Independent Director;Yes;Greg Mondre joined this role in 16 May 2017;21174;Yes;642225;
MURPHY OIL CORP;MUR;01/12/2017;Audit;Neal Schmale;Financial Expert;CFO(1);Independent Director;Yes;Neal Schmale joined this role in 09 May 2007;21371;Yes;56802;
MURPHY OIL CORP;MUR;01/12/2017;Audit;Neal Schmale;Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Neal Schmale joined this role in 09 May 2007;21371;Yes;56802;
MURPHY OIL CORP;MUR;01/12/2017;Audit;Robert Murphy;Chairman;Executive VP/CFO(1);Independent Director;Yes;Robert Murphy joined this role in 08 May 2002;21371;Yes;60441;
MURPHY OIL CORP;MUR;01/12/2017;Audit;Larry Dickerson;Member;VP/CFO(1);Independent Director;Yes;Larry Dickerson joined this role in 13 May 2015;21371;Yes;78802;
MURPHY OIL CORP;MUR;01/12/2017;Audit;Laura Sugg;Member;;Independent Director;Yes;Laura Sugg joined this role in 11 May 2016;21371;Yes;1054233;
NABORS INDUSTRIES LTD (Nabors Industries prior to 06/2002);NBR;01/12/2017;Audit;John Yearwood;Financial Expert;FD(1);Lead Independent Director;Yes;John Yearwood joined this role in 07 Jun 2011;21454;Yes;484842;
NABORS INDUSTRIES LTD (Nabors Industries prior to 06/2002);NBR;01/12/2017;Audit;Dag Skattum;Financial Expert;;Independent Director;Yes;Dag Skattum departed in 27 Jul 2017;21454;Yes;1119929;
NABORS INDUSTRIES LTD (Nabors Industries prior to 06/2002);NBR;01/12/2017;Audit;Tanya Beder;Financial Expert;;Independent Director;Yes;Tanya Beder joined this role in 27 Oct 2017;21454;Yes;1197610;
NABORS INDUSTRIES LTD (Nabors Industries prior to 06/2002);NBR;01/12/2017;Audit;John Kotts;Chairman / Financial Expert;;Independent Director;Yes;John Kotts joined this role in 03 Jun 2014;21454;Yes;1323205;
NOV INC (National Oilwell Varco Inc prior to 01/2021);NOV;01/12/2017;Audit;Jim Hackett;Financial Expert;;Lead Independent Director;Yes;Jim Hackett joined this role in 05 Apr 2016;21553;Yes;67067;
NOV INC (National Oilwell Varco Inc prior to 01/2021);NOV;01/12/2017;Audit;David Harrison;Chairman / Financial Expert;Executive VP/CFO(4);Independent Director;Outside;David Harrison joined this role in 13 Aug 2003;21553;Yes;106631;
NOV INC (National Oilwell Varco Inc prior to 01/2021);NOV;01/12/2017;Audit;Bill Thomas;Financial Expert;;Independent Director;Yes;Bill Thomas joined this role in 02 Nov 2015;21553;Yes;534761;
NOV INC (National Oilwell Varco Inc prior to 01/2021);NOV;01/12/2017;Audit;Marcela Donadio;Financial Expert;;Independent Director;Yes;Marcela Donadio joined this role in 14 May 2014;21553;Yes;1384592;
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);NWL;01/12/2017;Audit;Ray Viault;Financial Expert;;Independent Director;Outside;Ray Viault joined this role in 13 May 2014;22048;Yes;36215;
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);NWL;01/12/2017;Audit;Mike Todman;Financial Expert;;Independent Director;Yes;Mike Todman joined this role in 29 Jan 2007;22048;Yes;62802;
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);NWL;01/12/2017;Audit;Steve Strobel;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Steve Strobel joined this role in 07 May 2013;22048;Yes;485591;
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);NWL;01/12/2017;Audit;Steve Strobel;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Steve Strobel joined this role in 07 May 2013;22048;Yes;485591;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NX9;01/12/2017;Audit;Roger Plank;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Roger Plank joined this role in 28 Jul 2015;22049;Yes;38961;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/12/2017;Audit;Roger Plank;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Roger Plank joined this role in 28 Jul 2015;22049;Yes;38961;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NX9;01/12/2017;Audit;Roger Plank;Financial Expert;VP/CFO(1);Independent Director;Yes;Roger Plank joined this role in 28 Jul 2015;22049;Yes;38961;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/12/2017;Audit;Roger Plank;Financial Expert;VP/CFO(1);Independent Director;Yes;Roger Plank joined this role in 28 Jul 2015;22049;Yes;38961;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NX9;01/12/2017;Audit;J Strange;Financial Expert;;Independent Director;Yes;J Strange joined this role in 04 Nov 2004;22049;Yes;60837;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/12/2017;Audit;J Strange;Financial Expert;;Independent Director;Yes;J Strange joined this role in 04 Nov 2004;22049;Yes;60837;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NX9;01/12/2017;Audit;Tom Ricks;Chairman / Financial Expert;;Independent Director;Outside;Tom Ricks joined this role in Jan 2000;22049;Yes;88502;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/12/2017;Audit;Tom Ricks;Chairman / Financial Expert;;Independent Director;Outside;Tom Ricks joined this role in Jan 2000;22049;Yes;88502;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NX9;01/12/2017;Audit;Pam Gardner;Member;;Independent Director;Yes;Pam Gardner joined this role in 15 May 2015;22049;Yes;350073;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/12/2017;Audit;Pam Gardner;Member;;Independent Director;Yes;Pam Gardner joined this role in 15 May 2015;22049;Yes;350073;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NX9;01/12/2017;Audit;Bud Giesinger Jr;Financial Expert;;Independent Director;Yes;Bud Giesinger Jr joined this role in 11 Aug 2017;22049;Yes;995271;
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/12/2017;Audit;Bud Giesinger Jr;Financial Expert;;Independent Director;Yes;Bud Giesinger Jr joined this role in 11 Aug 2017;22049;Yes;995271;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Noreen Doyle;Financial Expert;;Independent Chair;Yes;Noreen Doyle departed in 01 May 2017;22069;Yes;183983;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Noreen Doyle;Financial Expert;;Independent Chair;Yes;Noreen Doyle departed in 01 May 2017;22069;Yes;183983;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Julio Quintana;Member;;Independent Director;Yes;Julio Quintana joined this role in 27 Oct 2015;22069;Yes;374198;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Julio Quintana;Member;;Independent Director;Yes;Julio Quintana joined this role in 27 Oct 2015;22069;Yes;374198;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Bruce Brook;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Bruce Brook joined this role in 20 Apr 2016;22069;Yes;430018;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Bruce Brook;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Bruce Brook joined this role in 20 Apr 2016;22069;Yes;430018;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Jude Bucknor;Financial Expert;;Independent Director;Yes;Jude Bucknor joined this role in 24 Jul 2012;22069;Yes;1254910;
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;Audit;Jude Bucknor;Financial Expert;;Independent Director;Yes;Jude Bucknor joined this role in 24 Jul 2012;22069;Yes;1254910;
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2017;Audit;Doctor Carolyn Woo;Member;;Independent Director;Yes;Doctor Carolyn Woo joined this role in 12 May 2015;22260;Yes;50121;
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2017;Audit;Richard Abdoo;Member;;Independent Director;Yes;Richard Abdoo joined this role in 12 May 2015;22260;Yes;54072;
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2017;Audit;Mike Jesanis;Chairman / Financial Expert;;Independent Director;Yes;Mike Jesanis joined this role in 01 Jul 2015;22260;Yes;106620;
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2017;Audit;Kevin Kabat;Member;;Independent Director;Yes;Kevin Kabat departed in 09 May 2017;22260;Yes;203640;
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2017;Audit;Wayne DeVeydt;Member;Executive VP/CFO(2);Independent Director;Yes;Wayne DeVeydt joined this role in 11 May 2016;22260;Yes;487388;
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;Audit;Eric Grubman;Member;;Independent Director;Yes;Eric Grubman departed in 25 Apr 2017;22312;Yes;57377;
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;Audit;Mike Cawley;Member;;Lead Independent Director;Yes;Mike Cawley joined this role in Jan 2000;22312;Yes;59661;
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;Audit;Ed Cox;Member;;Independent Director;Yes;Ed Cox joined this role in 25 Apr 2017;22312;Yes;86087;
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;Audit;Kirby Hedrick;Member;;Independent Director;Yes;Kirby Hedrick joined this role in 25 Apr 2017;22312;Yes;86152;
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;Audit;Bill van Kleef;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Bill van Kleef joined this role in 25 Apr 2006;22312;Yes;221632;
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;Audit;Bill van Kleef;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;Bill van Kleef joined this role in 25 Apr 2006;22312;Yes;221632;
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;Audit;Scott Urban;Member;;Independent Director;Yes;Scott Urban departed in 25 Apr 2017;22312;Yes;555711;
NORFOLK SOUTHERN CORP;NSC;01/12/2017;Audit;Mike Lockhart;Financial Expert;;Independent Director;Yes;Mike Lockhart joined this role in 22 Sep 2008;22412;Yes;270537;
NORFOLK SOUTHERN CORP;NSC;01/12/2017;Audit;Amy Miles;Chairwoman / Financial Expert;;Independent Director;Yes;Amy Miles joined this role in 12 May 2016;22412;Yes;323115;
NORFOLK SOUTHERN CORP;NSC;01/12/2017;Audit;John Thompson;Financial Expert;;Independent Director;Yes;John Thompson joined this role in 18 Feb 2013;22412;Yes;326644;
NORFOLK SOUTHERN CORP;NSC;01/12/2017;Audit;Bob Bradway;Financial Expert;;Independent Director;Yes;Bob Bradway departed in 11 May 2017;22412;Yes;534543;
NORFOLK SOUTHERN CORP;NSC;01/12/2017;Audit;Marty Nesbitt;Financial Expert;;Independent Director;Yes;Marty Nesbitt joined this role in 18 Feb 2013;22412;Yes;1070916;
NORFOLK SOUTHERN CORP;NSC;01/12/2017;Audit;Marcela Donadio;Financial Expert;;Independent Director;Yes;Marcela Donadio joined this role in 28 Nov 2016;22412;Yes;1384592;
NORTHERN TRUST CORP;NTRS;01/12/2017;Audit;Professor Doctor Dipak Jain;Member;;Independent Director;Yes;Professor Doctor Dipak Jain departed in 25 Apr 2017;22509;Yes;36855;
NORTHERN TRUST CORP;NTRS;01/12/2017;Audit;Martin Slark;Financial Expert;;Independent Director;Yes;Martin Slark joined this role in 25 Apr 2017;22509;Yes;61127;
NORTHERN TRUST CORP;NTRS;01/12/2017;Audit;Don Thompson;Financial Expert;;Independent Director;Yes;Don Thompson joined this role in 25 Apr 2017;22509;Yes;534948;
NORTHERN TRUST CORP;NTRS;01/12/2017;Audit;Dean Harrison;Financial Expert;;Independent Director;Yes;Dean Harrison joined this role in 25 Apr 2017;22509;Yes;1000924;
NORTHERN TRUST CORP;NTRS;01/12/2017;Audit;Dave Smith Jr;Chairman / Financial Expert;;Independent Director;Yes;Dave Smith Jr joined this role in 2014;22509;Yes;1056353;
NORTHROP GRUMMAN CORP;NOC;01/12/2017;Audit;Ann Fudge;Member;;Independent Director;Yes;Ann Fudge joined this role in 18 May 2016;22521;Yes;32333;
NORTHROP GRUMMAN CORP;NOC;01/12/2017;Audit;Bill Hernandez;Chairman / Financial Expert;;Independent Director;Yes;Bill Hernandez joined this role in 2014;22521;Yes;36120;
NORTHROP GRUMMAN CORP;NOC;01/12/2017;Audit;The Hon. Vic Fazio Jr;Member;;Independent Director;Outside;The Hon. Vic Fazio Jr joined this role in May 2001;22521;Yes;39071;
NORTHROP GRUMMAN CORP;NOC;01/12/2017;Audit;Madeleine Kleiner;Financial Expert;;Independent Director;Yes;Madeleine Kleiner joined this role in 20 Oct 2008;22521;Yes;57457;
NORTHROP GRUMMAN CORP;NOC;01/12/2017;Audit;Jim Turley;Financial Expert;;Independent Director;Yes;Jim Turley joined this role in 19 Feb 2015;22521;Yes;997345;
NORTHROP GRUMMAN CORP;NOC;01/12/2017;Audit;Marianne Brown;Member;;Independent Director;Yes;Marianne Brown joined this role in 19 Mar 2015;22521;Yes;1268764;
NORTHROP GRUMMAN CORP;NOC;01/12/2017;Audit;General Mark Welsh III;Member;;Independent Director;Yes;General Mark Welsh III joined this role in 08 Dec 2016;22521;Yes;1701326;
NRG ENERGY INC;NRG;01/12/2017;Audit;Tom Weidemeyer;Member;;Independent Director;Yes;Tom Weidemeyer joined this role in 23 Feb 2017;22626;Yes;33374;
NRG ENERGY INC;NRG;01/12/2017;Audit;Terry Dallas;Financial Expert;CFO(1);Independent Director;Yes;Terry Dallas joined this role in 14 Dec 2012;22626;Yes;51701;
NRG ENERGY INC;NRG;01/12/2017;Audit;Terry Dallas;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Terry Dallas joined this role in 14 Dec 2012;22626;Yes;51701;
NRG ENERGY INC;NRG;01/12/2017;Audit;Bill Hantke;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Bill Hantke joined this role in 14 May 2008;22626;Yes;204664;
NRG ENERGY INC;NRG;01/12/2017;Audit;Walt Young Jr;Financial Expert;;Independent Director;Yes;Walt Young Jr joined this role in 28 Apr 2016;22626;Yes;320715;
NRG ENERGY INC;NRG;01/12/2017;Audit;Anne Schaumburg;Member;;Independent Director;Yes;Anne Schaumburg departed in 23 Feb 2017;22626;Yes;340990;
NRG ENERGY INC;NRG;01/12/2017;Audit;Commander Barry Smitherman;Member;;Independent Director;Yes;Commander Barry Smitherman joined this role in 23 Feb 2017;22626;Yes;1615727;
NUCOR CORP;NUE;01/12/2017;Audit;Bernard Kasriel;Member;;Independent Director;Yes;Bernard Kasriel joined this role in 10 May 2012;22688;Yes;6967;
NUCOR CORP;NUE;01/12/2017;Audit;Doctor Victoria Haynes;Member;;Independent Director;Yes;Doctor Victoria Haynes joined this role in Jan 2000;22688;Yes;66152;
NUCOR CORP;NUE;01/12/2017;Audit;Ray Milchovich;Member;;Independent Director;Yes;Ray Milchovich departed in 11 May 2017;22688;Yes;66172;
NUCOR CORP;NUE;01/12/2017;Audit;Greg Hayes;Chairman / Financial Expert;;Independent Director;Yes;Greg Hayes joined this role in 08 May 2014;22688;Yes;203663;
NUCOR CORP;NUE;01/12/2017;Audit;Christopher Kearney;Member;;Independent Director;Yes;Christopher Kearney joined this role in 01 Oct 2008;22688;Yes;204387;
NUCOR CORP;NUE;01/12/2017;Audit;John Walker;Member;;Lead Independent Director;Yes;John Walker joined this role in 01 Jan 2008;22688;Yes;270784;
NUCOR CORP;NUE;01/12/2017;Audit;Patrick Dempsey;Member;;Independent Director;Yes;Patrick Dempsey joined this role in 01 Dec 2016;22688;Yes;487474;
NUCOR CORP;NUE;01/12/2017;Audit;General Lloyd Austin III;Member;;Independent Director;Yes;General Lloyd Austin III joined this role in 18 Sep 2017;22688;Yes;1727737;
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2017;Audit;Howard Atkins;Financial Expert;CFO(1);Independent Director;Yes;Howard Atkins joined this role in 06 May 2011;22899;Yes;33212;
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2017;Audit;Howard Atkins;Financial Expert;Executive VP/CFO(3);Independent Director;Yes;Howard Atkins joined this role in 06 May 2011;22899;Yes;33212;
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2017;Audit;Howard Atkins;Financial Expert;Senior Executive VP/CFO(1);Independent Director;Yes;Howard Atkins joined this role in 06 May 2011;22899;Yes;33212;
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2017;Audit;The Hon. Carlos Gutierrez;Financial Expert;;Independent Director;Yes;The Hon. Carlos Gutierrez joined this role in 12 May 2017;22899;Yes;34576;
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2017;Audit;Dick Poladian;Chairman / Financial Expert;;Independent Director;Yes;Dick Poladian joined this role in 03 May 2013;22899;Yes;310266;
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2017;Audit;Elisse Walter;Financial Expert;;Independent Director;Yes;Elisse Walter joined this role in 12 May 2017;22899;Yes;1281794;
OMNICOM GROUP INC;OMC;01/12/2017;Audit;Gracia Martore;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Gracia Martore joined this role in 13 Jul 2017;23113;Yes;35234;
OMNICOM GROUP INC;OMC;01/12/2017;Audit;Doctor Mary Choksi;Chair/Financial Expert;;Independent Director;Yes;Doctor Mary Choksi joined this role in 25 May 2017;23113;Yes;35446;
OMNICOM GROUP INC;OMC;01/12/2017;Audit;Reg Murphy;Member;;Independent Director;Yes;Reg Murphy joined this role in 25 May 2017;23113;Yes;35566;
OMNICOM GROUP INC;OMC;01/12/2017;Audit;Professor Doctor Bob Clark;Financial Expert;;Independent Director;Yes;Professor Doctor Bob Clark joined this role in May 2003;23113;Yes;35595;
OMNICOM GROUP INC;OMC;01/12/2017;Audit;Michael Henning;Vice Chairman / Financial Expert;;Independent Director;Yes;Michael Henning departed in 25 May 2017;23113;Yes;52716;
